id,created_at,text
845646763201630209,2017-03-25 14:41:14,Watch @JudgeJeanine on @FoxNews tonight at 9:00 P.M.
845645918422667266,2017-03-25 14:37:52,ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!
839448470742269954,2017-03-08 12:11:26,LinkedIn Workforce Report: January and February were the strongest consecutive months for hiring since August and September 2015
839116943286235138,2017-03-07 14:14:03,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!"
839110002245791744,2017-03-07 13:46:29,I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!
839108869838241794,2017-03-07 13:41:59,"Don't worry, getting rid of state lines, which will promote competition, will be in phase 2 &amp;amp; 3 of healthcare rollout. @foxandfriends"
839101662937628672,2017-03-07 13:13:20,"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends"
839086724861014016,2017-03-07 12:13:59,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!
839084270303989760,2017-03-07 12:04:14,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!"
838353483069800449,2017-03-05 11:40:20,"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends"
838351477823406081,2017-03-05 11:32:22,Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?
838016046728622081,2017-03-04 13:19:29,"Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (pathetic) ratings, not by me. Sad end to great show"
837996747557306369,2017-03-04 12:02:48,How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!
837994259051589632,2017-03-04 11:52:55,"I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!"
837993275017441285,2017-03-04 11:49:00,"Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!"
837991760353718272,2017-03-04 11:42:59,"Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone."
837989837030440962,2017-03-04 11:35:20,"Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!"
837987685927174150,2017-03-04 11:26:48,The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs......
